created_on,source,industry
2016-11-14,Referral,IT
2016-11-14,Social,IT
2016-11-14,Paid,SaaS
2016-11-14,Direct,SaaS
2016-11-15,Organic,Health Care
2016-11-15,Email,Finance
2016-11-15,Paid,SaaS
2016-11-19,Email,Telecom
2016-11-19,Social,Finance
2016-11-19,Direct,Finance
2016-11-20,Paid,Finance
2016-11-20,Email,Finance
2016-11-20,Paid,SaaS
2016-11-20,Social,Health Care
2016-11-20,Referral,Education
2016-11-21,Referral,IT
2016-11-21,Email,IT
2016-11-21,Direct,SaaS
2016-11-25,Organic,Finance
2016-11-25,Organic,Telecom
2016-11-25,Social,Telecom
2016-11-25,Paid,SaaS
2016-11-25,Direct,Telecom
2016-11-25,Referral,SaaS
2016-11-29,Direct,IT
2016-11-29,Direct,SaaS
2016-11-29,Organic,Health Care
2016-11-29,Paid,Education
2016-11-29,Organic,Health Care
2016-12-01,Paid,SaaS
2016-12-01,Social,Telecom
2016-12-01,Direct,Education
2016-12-01,Email,Retail/Entertainment
2016-12-01,Paid,SaaS
2016-12-01,Referral,Education
2016-12-01,Referral,Education
2016-12-02,Paid,Retail/Entertainment
2016-12-02,Direct,Finance
2016-12-02,Direct,IT
2016-12-02,Direct,SaaS
2016-12-02,Email,Telecom
2016-12-02,Referral,Retail/Entertainment
2016-12-04,Social,SaaS
2016-12-04,Paid,Finance
2016-12-06,Paid,SaaS
2016-12-06,Paid,Finance
2016-12-06,Social,Retail/Entertainment
2016-12-06,Paid,Retail/Entertainment
2016-12-06,Organic,Health Care
2016-12-08,Referral,Retail/Entertainment
2016-12-08,Organic,SaaS
2016-12-08,Social,Retail/Entertainment
2016-12-08,Direct,Retail/Entertainment
2016-12-08,Paid,Telecom
2016-12-08,Social,Health Care
2016-12-08,Social,Health Care
2016-12-08,Direct,SaaS
2016-12-09,Paid,Retail/Entertainment
2016-12-09,Social,Telecom
2016-12-09,Paid,Retail/Entertainment
2016-12-11,Social,Education
2016-12-11,Email,Finance
2016-12-11,Paid,Retail/Entertainment
2016-12-11,Referral,SaaS
2016-12-11,Social,Retail/Entertainment
2016-12-11,Paid,SaaS
2016-12-12,Social,Finance
2016-12-12,Referral,Health Care
2016-12-12,Paid,Education
2016-12-13,Referral,SaaS
2016-12-13,Direct,SaaS
2016-12-15,Organic,Health Care
2016-12-15,Organic,SaaS
2016-12-16,Email,Telecom
2016-12-16,Direct,IT
2016-12-16,Paid,SaaS
2016-12-16,Email,SaaS
2016-12-16,Referral,IT
2016-12-16,Paid,Telecom
2016-12-17,Referral,Retail/Entertainment
2016-12-17,Paid,Retail/Entertainment
2016-12-17,Email,Finance
2016-12-18,Direct,IT
2016-12-18,Organic,Finance
2016-12-18,Email,IT
2016-12-18,Direct,Health Care
2016-12-18,Paid,Finance
2016-12-18,Social,Telecom
2016-12-18,Email,Finance
2016-12-18,Direct,Health Care
2016-12-18,Organic,Telecom
2016-12-18,Direct,IT
2016-12-18,Paid,Finance
2016-12-18,Email,Education
2016-12-18,Social,SaaS
2016-12-18,Organic,IT
2016-12-19,Direct,SaaS
2016-12-19,Organic,SaaS
2016-12-19,Referral,IT
2016-12-19,Direct,Finance
2016-12-21,Email,Telecom
2016-12-21,Direct,SaaS
2016-12-21,Direct,Retail/Entertainment
2016-12-22,Direct,Retail/Entertainment
2016-12-22,Paid,SaaS
2016-12-22,Paid,IT
2016-12-22,Email,Finance
2016-12-22,Organic,SaaS
2016-12-22,Organic,SaaS
2016-12-22,Paid,SaaS
2016-12-22,Direct,Telecom
2016-12-23,Social,Finance
2016-12-23,Referral,Telecom
2016-12-24,Paid,Telecom
2016-12-24,Direct,SaaS
2016-12-24,Organic,Education
2016-12-25,Paid,SaaS
2016-12-25,Organic,Retail/Entertainment
2016-12-25,Email,Finance
2016-12-25,Paid,Health Care
2016-12-26,Direct,SaaS
2016-12-26,Referral,IT
2016-12-27,Paid,Retail/Entertainment
2016-12-27,Paid,Telecom
2016-12-27,Paid,SaaS
2016-12-28,Paid,Education
2016-12-28,Organic,Telecom
2016-12-28,Referral,Telecom
2016-12-28,Referral,Finance
2016-12-28,Organic,Finance
2016-12-28,Direct,Retail/Entertainment
2016-12-28,Paid,IT
2016-12-28,Referral,SaaS
2016-12-28,Direct,IT
2016-12-28,Email,Telecom
2016-12-28,Referral,IT
2016-12-28,Referral,Telecom
2016-12-28,Direct,Finance
2016-12-28,Organic,Telecom
2016-12-28,Referral,Retail/Entertainment
2016-12-28,Organic,Health Care
2016-12-28,Paid,Finance
2016-12-28,Paid,Finance
2016-12-28,Email,Finance
2016-12-28,Paid,Telecom
2016-12-29,Email,IT
2016-12-29,Direct,SaaS
2016-12-29,Direct,IT
2016-12-29,Email,Finance
2016-12-29,Paid,Telecom
2016-12-29,Paid,Retail/Entertainment
2016-12-29,Email,Finance
2016-12-29,Direct,SaaS
2016-12-29,Email,Retail/Entertainment
2016-12-29,Referral,Telecom
2016-12-29,Email,IT
2016-12-29,Organic,Telecom
2016-12-30,Paid,SaaS
2016-12-30,Email,Telecom
2016-12-30,Organic,Telecom
2016-12-30,Email,IT
2016-12-30,Email,IT
2016-12-30,Referral,Education
2016-12-30,Direct,SaaS
2016-12-30,Direct,SaaS
2016-12-30,Direct,Telecom
2016-12-30,Referral,Health Care
2016-12-30,Paid,Health Care
2016-12-30,Email,Retail/Entertainment
2016-12-30,Organic,Telecom
2016-12-30,Social,SaaS
2016-12-30,Direct,Education
2016-12-30,Paid,Retail/Entertainment
2016-12-30,Referral,Retail/Entertainment
2017-01-01,Paid,Health Care
2017-01-01,Referral,Telecom
2017-01-01,Organic,Health Care
2017-01-01,Email,Education
2017-01-01,Organic,SaaS
2017-01-01,Paid,SaaS
2017-01-01,Social,Telecom
2017-01-01,Social,Telecom
2017-01-01,Email,IT
2017-01-01,Social,SaaS
2017-01-01,Referral,IT
2017-01-01,Direct,Health Care
2017-01-01,Email,Telecom
2017-01-01,Organic,Retail/Entertainment
2017-01-01,Email,IT
2017-01-01,Referral,Finance
2017-01-01,Email,Health Care
2017-01-01,Referral,SaaS
2017-01-01,Direct,SaaS
2017-01-01,Direct,SaaS
2017-01-02,Organic,SaaS
2017-01-02,Email,Telecom
2017-01-02,Direct,Telecom
2017-01-02,Paid,SaaS
2017-01-02,Paid,Education
2017-01-02,Organic,Retail/Entertainment
2017-01-02,Referral,IT
2017-01-02,Email,Education
2017-01-02,Referral,SaaS
2017-01-02,Email,Finance
2017-01-02,Referral,Telecom
2017-01-02,Organic,Education
2017-01-02,Organic,Finance
2017-01-02,Email,Health Care
2017-01-02,Social,Retail/Entertainment
2017-01-02,Referral,Telecom
2017-01-03,Paid,SaaS
2017-01-03,Email,IT
2017-01-03,Email,Telecom
2017-01-03,Referral,Finance
2017-01-03,Paid,IT
2017-01-03,Direct,Finance
2017-01-03,Referral,Telecom
2017-01-03,Social,Finance
2017-01-03,Referral,IT
2017-01-03,Email,Finance
2017-01-03,Organic,Health Care
2017-01-03,Organic,Finance
2017-01-03,Organic,Telecom
2017-01-03,Paid,SaaS
2017-01-03,Referral,Health Care
2017-01-03,Email,SaaS
2017-01-03,Direct,SaaS
2017-01-03,Referral,Finance
2017-01-03,Organic,Telecom
2017-01-04,Email,Retail/Entertainment
2017-01-04,Social,Retail/Entertainment
2017-01-04,Social,Finance
2017-01-04,Email,Finance
2017-01-04,Paid,Finance
2017-01-04,Organic,Health Care
2017-01-04,Paid,Telecom
2017-01-04,Direct,Finance
2017-01-04,Paid,Retail/Entertainment
2017-01-04,Social,Telecom
2017-01-04,Organic,IT
2017-01-04,Direct,Health Care
2017-01-04,Referral,IT
2017-01-04,Direct,IT
2017-01-04,Social,SaaS
2017-01-04,Social,Health Care
2017-01-04,Organic,Telecom
2017-01-04,Direct,Finance
2017-01-04,Social,SaaS
2017-01-04,Referral,Finance
2017-01-04,Email,Education
2017-01-04,Social,Retail/Entertainment
2017-01-04,Paid,Telecom
2017-01-05,Email,IT
2017-01-05,Organic,SaaS
2017-01-05,Direct,Finance
2017-01-05,Social,Education
2017-01-05,Paid,Health Care
2017-01-05,Social,SaaS
2017-01-05,Referral,IT
2017-01-05,Referral,Education
2017-01-05,Organic,IT
2017-01-05,Paid,Telecom
2017-01-05,Paid,IT
2017-01-05,Email,Retail/Entertainment
2017-01-05,Organic,Education
2017-01-05,Referral,SaaS
2017-01-05,Organic,Health Care
2017-01-05,Referral,Finance
2017-01-05,Paid,SaaS
2017-01-05,Paid,Health Care
2017-01-05,Direct,Health Care
2017-01-05,Email,Finance
2017-01-05,Paid,Retail/Entertainment
2017-01-05,Paid,Health Care
2017-01-05,Paid,IT
2017-01-05,Direct,IT
2017-01-05,Direct,SaaS
2017-01-05,Organic,Education
2017-01-05,Referral,Telecom
2017-01-05,Paid,Telecom
2017-01-05,Direct,SaaS
2017-01-05,Social,Health Care
2017-01-05,Referral,IT
2017-01-05,Organic,SaaS
2017-01-06,Email,Telecom
2017-01-06,Organic,Finance
2017-01-06,Paid,Retail/Entertainment
2017-01-06,Organic,Education
2017-01-06,Email,IT
2017-01-06,Referral,Finance
2017-01-06,Organic,SaaS
2017-01-06,Referral,Finance
2017-01-06,Social,SaaS
2017-01-06,Organic,Education
2017-01-06,Email,Finance
2017-01-06,Paid,IT
2017-01-06,Referral,Telecom
2017-01-06,Direct,SaaS
2017-01-06,Social,Telecom
2017-01-06,Organic,SaaS
2017-01-06,Organic,SaaS
2017-01-06,Social,IT
2017-01-06,Organic,Health Care
2017-01-07,Social,Telecom
2017-01-07,Social,Telecom
2017-01-07,Email,IT
2017-01-07,Paid,Finance
2017-01-07,Organic,SaaS
2017-01-07,Direct,Education
2017-01-07,Direct,SaaS
2017-01-07,Social,Health Care
2017-01-07,Email,Retail/Entertainment
2017-01-07,Paid,SaaS
2017-01-07,Social,Retail/Entertainment
2017-01-08,Referral,Health Care
2017-01-08,Paid,Education
2017-01-08,Organic,Retail/Entertainment
2017-01-08,Email,Telecom
2017-01-08,Direct,Health Care
2017-01-08,Paid,Education
2017-01-08,Referral,Telecom
2017-01-08,Direct,Telecom
2017-01-08,Paid,IT
2017-01-08,Organic,Retail/Entertainment
2017-01-08,Referral,Retail/Entertainment
2017-01-08,Paid,Retail/Entertainment
2017-01-08,Referral,Finance
2017-01-08,Referral,Health Care
2017-01-08,Email,IT
2017-01-08,Direct,Telecom
2017-01-08,Referral,Retail/Entertainment
2017-01-08,Social,Retail/Entertainment
2017-01-08,Organic,SaaS
2017-01-08,Paid,Retail/Entertainment
2017-01-08,Organic,Health Care
2017-01-08,Direct,Retail/Entertainment
2017-01-08,Email,Finance
2017-01-08,Direct,Finance
2017-01-08,Paid,SaaS
2017-01-08,Organic,Telecom
2017-01-08,Paid,SaaS
2017-01-08,Referral,Finance
2017-01-08,Organic,IT
2017-01-08,Paid,IT
2017-01-08,Paid,Finance
2017-01-09,Paid,Finance
2017-01-09,Referral,Education
2017-01-09,Organic,Education
2017-01-09,Email,Telecom
2017-01-09,Direct,IT
2017-01-09,Referral,SaaS
2017-01-09,Paid,Health Care
2017-01-09,Direct,SaaS
2017-01-09,Email,Retail/Entertainment
2017-01-09,Social,Retail/Entertainment
2017-01-09,Referral,Finance
2017-01-09,Social,Telecom
2017-01-09,Organic,Health Care
2017-01-09,Organic,Telecom
2017-01-10,Social,Finance
2017-01-10,Organic,Health Care
2017-01-10,Referral,Health Care
2017-01-10,Referral,SaaS
2017-01-10,Organic,IT
2017-01-10,Social,IT
2017-01-10,Direct,SaaS
2017-01-10,Referral,Finance
2017-01-10,Referral,IT
2017-01-10,Paid,SaaS
2017-01-10,Organic,Health Care
2017-01-10,Organic,SaaS
2017-01-10,Organic,SaaS
2017-01-10,Paid,Health Care
2017-01-10,Email,SaaS
2017-01-10,Direct,Finance
2017-01-10,Email,IT
2017-01-10,Email,Finance
2017-01-10,Paid,Health Care
2017-01-10,Referral,Finance
2017-01-10,Organic,IT
2017-01-10,Email,Finance
2017-01-10,Email,IT
2017-01-10,Social,Finance
2017-01-10,Paid,Telecom
2017-01-11,Organic,IT
2017-01-11,Email,Telecom
2017-01-11,Organic,SaaS
2017-01-11,Email,Education
2017-01-11,Email,Telecom
2017-01-11,Organic,IT
2017-01-11,Social,Health Care
2017-01-11,Referral,Education
2017-01-11,Paid,IT
2017-01-11,Social,SaaS
2017-01-11,Paid,Retail/Entertainment
2017-01-11,Social,Finance
2017-01-11,Social,IT
2017-01-11,Organic,SaaS
2017-01-11,Paid,Finance
2017-01-11,Referral,Education
2017-01-11,Organic,SaaS
2017-01-11,Social,SaaS
2017-01-11,Referral,SaaS
2017-01-11,Email,Telecom
2017-01-11,Paid,Health Care
2017-01-11,Direct,Finance
2017-01-11,Paid,Telecom
2017-01-11,Paid,Health Care
2017-01-11,Email,IT
2017-01-11,Direct,SaaS
2017-01-11,Referral,Health Care
2017-01-11,Email,Education
2017-01-11,Organic,SaaS
2017-01-11,Referral,Finance
2017-01-11,Referral,SaaS
2017-01-11,Paid,Health Care
2017-01-11,Email,Telecom
2017-01-12,Organic,SaaS
2017-01-12,Social,Education
2017-01-12,Email,Health Care
2017-01-12,Organic,Finance
2017-01-12,Organic,Telecom
2017-01-12,Social,IT
2017-01-12,Social,SaaS
2017-01-12,Direct,SaaS
2017-01-12,Paid,SaaS
2017-01-12,Email,Finance
2017-01-12,Paid,Telecom
2017-01-12,Paid,Finance
2017-01-12,Organic,SaaS
2017-01-12,Organic,SaaS
2017-01-12,Email,Education
2017-01-12,Social,IT
2017-01-12,Referral,Retail/Entertainment
2017-01-12,Organic,IT
2017-01-12,Direct,IT
2017-01-12,Referral,Finance
2017-01-12,Social,Telecom
2017-01-12,Email,Finance
2017-01-12,Social,Finance
2017-01-12,Direct,SaaS
2017-01-12,Direct,SaaS
2017-01-12,Direct,SaaS
2017-01-12,Direct,Finance
2017-01-12,Organic,Retail/Entertainment
2017-01-12,Paid,Retail/Entertainment
2017-01-12,Direct,Health Care
2017-01-13,Organic,Health Care
2017-01-13,Email,Retail/Entertainment
2017-01-13,Referral,Finance
2017-01-13,Direct,Retail/Entertainment
2017-01-13,Social,Telecom
2017-01-13,Direct,IT
2017-01-13,Referral,IT
2017-01-13,Social,Telecom
2017-01-13,Email,Education
2017-01-13,Email,Telecom
2017-01-13,Email,Retail/Entertainment
2017-01-13,Social,Telecom
2017-01-13,Social,Retail/Entertainment
2017-01-13,Paid,Telecom
2017-01-13,Social,Retail/Entertainment
2017-01-13,Direct,Retail/Entertainment
2017-01-13,Direct,Telecom
2017-01-13,Direct,Telecom
2017-01-13,Social,Education
2017-01-13,Organic,IT
2017-01-13,Social,SaaS
2017-01-13,Email,Retail/Entertainment
2017-01-13,Paid,Telecom
2017-01-13,Email,Retail/Entertainment
2017-01-13,Email,Telecom
2017-01-13,Social,Telecom
2017-01-13,Email,IT
2017-01-13,Paid,Education
2017-01-13,Referral,IT
2017-01-13,Paid,IT
2017-01-13,Organic,SaaS
2017-01-13,Social,IT
2017-01-13,Social,Education
2017-01-13,Paid,Retail/Entertainment
2017-01-13,Email,Retail/Entertainment
2017-01-13,Direct,Telecom
2017-01-14,Referral,IT
2017-01-14,Email,Finance
2017-01-14,Organic,SaaS
2017-01-14,Referral,Telecom
2017-01-14,Paid,Telecom
2017-01-14,Email,Telecom
2017-01-14,Paid,Telecom
2017-01-14,Social,Health Care
2017-01-14,Email,SaaS
2017-01-14,Organic,Finance
2017-01-14,Referral,Finance
2017-01-14,Social,IT
2017-01-14,Direct,Finance
2017-01-14,Referral,SaaS
2017-01-14,Referral,Finance
2017-01-14,Organic,Finance
